offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Courthouse y
1,-0.53683831,1,0,1.661324773,0,0,1,0,0,0,0,0,1,1.5438958440000001,1.494597575,0.395546145,-0.163486338,0.45882403200000005,323.0
1,0.846511177,1,0,0.505620583,0,1,0,0,1,0,0,0,0,-0.418879295,0.34544489700000003,-1.3960984440000002,-0.163486338,1.824386674,768.0
1,0.59136005,1,0,0.505620583,0,0,0,1,1,0,0,0,0,0.058552495999999996,-0.631334878,1.572912589,1.5973845230000001,1.0050490890000001,686.0
1,-0.813508207,1,0,-0.505620583,0,0,0,1,0,0,0,1,0,-1.479838829,-1.608114654,-0.32111169100000003,-0.163486338,0.18571150399999997,235.0
1,2.014672966,1,0,0.072231512,0,0,1,0,1,0,0,0,0,0.854272147,1.4371399409999999,-0.833010145,-0.163486338,-1.452963667,1153.0
1,-0.841175197,1,0,-1.083472678,0,1,0,0,0,1,0,0,0,0.164648449,-0.401504343,1.214583671,0.339619623,0.18571150399999997,225.0
1,-0.770470668,1,0,-0.939009654,1,0,0,0,0,1,0,0,0,0.695128216,0.23052963,1.11220398,-0.163486338,-0.633626082,246.0
1,-0.54606064,0,1,-0.650083607,0,0,0,1,0,1,0,0,0,-1.6389827590000001,-1.7230299219999998,-0.47468122700000004,-0.163486338,-1.452963667,349.0
1,-0.567579409,1,0,-1.516861749,0,0,1,0,0,0,0,0,1,1.4908478669999998,0.920021236,1.624102434,7.634656045,-1.452963667,280.0
1,0.757361988,1,0,0.505620583,0,1,0,0,1,0,0,0,0,0.7481761929999999,0.632733067,0.29316645399999997,-0.163486338,0.45882403200000005,746.0
1,0.781954868,1,0,0.650083607,0,1,0,0,1,0,0,0,0,0.42988833299999996,0.34544489700000003,0.13959691800000001,-0.163486338,-0.087401025,740.0
1,1.8394486980000002,1,0,0.939009654,0,0,1,0,0,0,1,0,0,0.907320123,0.920021236,0.08840707199999999,-0.163486338,1.0050490890000001,1021.0
1,0.468395651,1,0,-0.21669453600000002,1,0,0,0,0,0,0,1,0,0.589032263,0.058156728,1.265773517,0.08806664199999999,1.278161617,769.0
1,-0.795063547,0,1,-1.227935701,0,0,0,1,0,0,0,0,1,-0.524975248,-1.033538315,0.856254753,-0.163486338,-0.633626082,238.0
1,0.812695967,1,0,0.650083607,0,0,0,1,1,0,0,0,0,-1.532886806,-0.9186230470000001,-1.498478135,-0.163486338,1.551274146,763.0
1,-0.7089884679999999,1,0,-0.79454663,0,0,0,1,0,1,0,0,0,-1.957270619,-1.608114654,-1.242528908,-0.163486338,1.551274146,268.0
1,-0.321650612,0,1,1.227935701,0,0,1,0,0,0,0,0,1,0.854272147,0.28798726399999997,1.4193430530000002,-0.163486338,-0.633626082,359.0
1,-0.779692997,1,0,-1.227935701,0,0,1,0,0,0,0,0,1,0.7481761929999999,0.632733067,0.29316645399999997,-0.163486338,-0.633626082,243.0
1,-0.598320509,1,0,1.516861749,0,0,1,0,0,0,0,0,1,0.376840356,0.920021236,-0.9353898359999999,-0.163486338,-1.452963667,278.0
1,-0.748951898,0,1,-1.661324773,0,0,1,0,0,0,0,0,1,0.9603681000000001,1.379682307,-0.5770609179999999,-0.163486338,-1.1798511390000002,246.0
1,-0.7827671070000001,1,0,-1.083472678,0,0,0,1,0,1,0,0,0,-1.055455015,-1.6655722880000001,0.9586344440000001,0.08806664199999999,-1.452963667,242.0
1,2.402010822,1,0,0.21669453600000002,0,0,1,0,1,0,0,0,0,1.3317039370000001,1.8968010119999998,-0.730630454,-0.163486338,0.18571150399999997,1272.0
1,-0.8196564270000001,1,0,-1.083472678,0,1,0,0,0,1,0,0,0,0.270744403,-0.05675854,0.6514953720000001,-0.163486338,0.18571150399999997,261.0
1,0.56984128,1,0,-0.072231512,0,0,0,1,0,0,0,1,0,-0.631071201,-0.746250146,-0.116352309,-0.163486338,-0.087401025,754.0
1,-0.828878757,1,0,-1.372398725,0,0,1,0,0,0,0,0,1,0.64208024,-0.05675854,1.777671971,0.591172603,-0.087401025,266.0
1,-0.6905438079999999,1,0,-0.939009654,0,0,1,0,0,1,0,0,0,1.013416077,1.034936504,0.08840707199999999,-0.163486338,-0.633626082,267.0
1,2.119192705,1,0,0.650083607,0,0,1,0,1,0,0,0,0,0.376840356,1.494597575,-1.549667981,-0.163486338,-0.087401025,1160.0
1,-0.410799801,1,0,-0.505620583,0,0,0,1,0,0,0,1,0,0.005504519,-0.688792512,1.572912589,-0.163486338,-1.452963667,539.0
1,1.3506652119999998,1,0,-0.505620583,0,0,1,0,0,0,0,1,0,0.907320123,1.092394138,-0.218732,-0.163486338,0.18571150399999997,1013.0
1,-0.653654489,1,0,1.516861749,0,0,0,1,0,0,0,0,1,0.005504519,-0.51641961,1.061014135,1.094278563,-0.087401025,266.0
1,0.280874942,0,1,-0.36115755899999996,0,1,0,0,0,0,0,1,0,0.164648449,0.28798726399999997,-0.32111169100000003,-0.163486338,0.73193656,662.0
1,0.17020698399999998,0,1,-0.505620583,0,0,1,0,0,0,0,1,0,0.535984286,0.058156728,1.11220398,-0.163486338,-0.087401025,624.0
1,1.8609674680000001,1,0,-0.36115755899999996,0,0,1,0,0,0,0,1,0,1.703039774,1.322224673,1.1633938259999999,-0.163486338,1.0050490890000001,1354.0
1,2.365121503,1,0,0.505620583,0,0,1,0,1,0,0,0,0,1.11951203,1.8968010119999998,-1.037769527,-0.163486338,0.73193656,1260.0
1,0.311616042,1,0,1.516861749,0,0,0,1,0,0,0,0,1,-1.9042226430000002,-1.780487555,-0.9353898359999999,-0.163486338,-0.633626082,589.0
1,-0.788915327,1,0,-0.650083607,0,0,1,0,0,1,0,0,0,1.3317039370000001,1.149851771,0.600305526,-0.163486338,-1.452963667,791.0
1,-0.8749904070000001,1,0,-0.79454663,0,1,0,0,0,1,0,0,0,0.058552495999999996,-0.631334878,1.572912589,-0.163486338,-1.452963667,211.0
1,2.005450636,1,0,0.505620583,1,0,0,0,1,0,0,0,0,0.111600473,0.6901907009999999,-1.037769527,-0.163486338,-0.633626082,1154.0
1,-0.791989437,0,1,1.661324773,0,0,1,0,0,0,0,0,1,1.384751914,1.092394138,0.856254753,-0.163486338,-1.452963667,236.0
1,0.33928303200000004,0,1,1.516861749,0,0,0,1,0,0,0,0,1,-0.737167155,-0.9760806809999999,0.13959691800000001,-0.163486338,-0.087401025,590.0
1,0.283949052,1,0,1.516861749,0,0,0,1,0,0,0,0,1,-0.684119178,-0.631334878,-0.423491382,-0.163486338,0.45882403200000005,590.0
1,-0.773544778,1,0,-0.21669453600000002,1,0,0,0,0,0,0,1,0,-0.790215132,0.0006990939999999999,-1.498478135,-0.163486338,1.0050490890000001,315.0
1,-0.8719162970000001,1,0,-1.083472678,0,1,0,0,0,1,0,0,0,-0.8432631079999999,-0.9760806809999999,-0.116352309,-0.163486338,0.73193656,217.0
1,-0.810434097,0,1,-1.227935701,1,0,0,0,0,0,0,0,1,0.270744403,-0.17167380699999998,0.9074445990000001,0.591172603,1.0050490890000001,230.0
1,2.005450636,1,0,-0.072231512,0,0,1,0,0,0,0,1,0,0.48293631,1.322224673,-1.242528908,-0.163486338,0.18571150399999997,1163.0
1,-0.567579409,0,1,-0.79454663,0,0,0,1,0,1,0,0,0,-1.214598945,-1.090995949,-0.730630454,-0.163486338,0.45882403200000005,315.0
1,-0.844249307,1,0,-0.650083607,1,0,0,0,0,1,0,0,0,-1.214598945,-0.573877244,-1.44728829,-0.163486338,0.18571150399999997,223.0
1,0.8741781670000001,1,0,0.79454663,1,0,0,0,0,0,1,0,0,0.48293631,0.34544489700000003,0.29316645399999997,-0.163486338,1.278161617,750.0
1,-0.300131842,0,1,-0.79454663,0,1,0,0,0,1,0,0,0,0.270744403,-0.458961977,1.777671971,-0.163486338,-0.633626082,428.0
1,0.8557335070000001,0,1,0.79454663,0,0,0,1,0,0,1,0,0,-1.108502992,-0.9760806809999999,-0.679440609,-0.163486338,-0.087401025,766.0
1,-0.850397527,1,0,1.083472678,0,0,0,1,0,0,1,0,0,-0.790215132,-0.746250146,-0.47468122700000004,-0.163486338,-0.087401025,218.0
1,1.510518931,1,0,1.083472678,1,0,0,0,0,0,1,0,0,0.9603681000000001,0.517817799,1.11220398,-0.163486338,-1.452963667,961.0
1,0.58213772,1,0,0.650083607,0,0,0,1,1,0,0,0,0,-0.10059143400000001,-0.80370778,1.572912589,0.339619623,0.73193656,676.0
