offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,School2 y
1,0.41606674899999996,1,0,-0.36115755899999996,0,1,0,0,0,0,0,1,0,0.270744403,-0.401504343,1.572912589,0.339619623,0.45882403200000005,340
1,-0.572341769,0,1,1.661324773,0,0,0,1,0,0,0,0,1,-0.790215132,-0.80370778,-0.32111169100000003,-0.163486338,-0.633626082,156
1,1.070461355,1,0,0.650083607,0,0,1,0,1,0,0,0,0,1.225607984,1.264767039,0.13959691800000001,-0.163486338,-0.087401025,392
1,1.0363783020000001,1,0,0.21669453600000002,0,0,0,1,1,0,0,0,0,-1.267646922,-0.9186230470000001,-1.088959372,-0.163486338,-0.087401025,385
1,-0.749573642,0,1,-0.650083607,1,0,0,0,0,1,0,0,0,-0.578023225,-0.9186230470000001,0.395546145,-0.163486338,-1.452963667,150
1,2.754164142,1,0,-0.505620583,0,0,1,0,0,0,0,1,0,1.649991797,1.4371399409999999,0.753875063,-0.163486338,0.18571150399999997,656
1,0.22520165600000003,0,1,-0.36115755899999996,0,1,0,0,0,0,0,1,0,0.376840356,-0.401504343,1.931241507,0.08806664199999999,-0.633626082,360
1,-0.333760403,1,0,0.79454663,0,0,0,1,0,0,1,0,0,-1.373742875,-0.631334878,-1.600857826,-0.163486338,-1.452963667,191
1,0.320634203,0,1,-1.661324773,0,0,0,1,0,0,0,0,1,-0.790215132,-0.9760806809999999,0.037217227,-0.163486338,0.73193656,282
1,-0.8177397470000001,1,0,-1.372398725,1,0,0,0,0,0,0,0,1,-0.418879295,-0.51641961,-0.065162464,-0.163486338,0.18571150399999997,144
1,2.1952020830000003,1,0,-0.650083607,0,0,1,0,0,1,0,0,0,1.649991797,1.379682307,0.856254753,-0.163486338,-0.087401025,644
1,0.872779651,1,0,0.072231512,1,0,0,0,1,0,0,0,0,-0.684119178,-0.631334878,-0.423491382,-0.163486338,2.916836788,372
1,-0.9268055140000001,1,0,-0.939009654,0,0,0,1,0,1,0,0,0,-2.063366573,-2.010318091,-0.833010145,-0.163486338,1.0050490890000001,106
1,-0.9199889040000001,0,1,-1.227935701,0,1,0,0,0,0,0,0,1,-0.790215132,-0.22913144100000002,-1.242528908,-0.163486338,-0.633626082,104
1,0.9886620290000001,0,1,-1.083472678,0,0,1,0,0,1,0,0,0,1.066464053,1.207309405,-0.116352309,-0.163486338,-1.452963667,385
1,-1.035871282,0,1,-0.072231512,0,1,0,0,0,0,0,1,0,-0.47192727100000004,0.058156728,-1.088959372,-0.163486338,0.18571150399999997,91
1,-0.913172293,1,0,1.661324773,0,0,1,0,0,0,0,0,1,1.384751914,1.207309405,0.600305526,-0.163486338,-1.452963667,109
1,0.41606674899999996,1,0,-0.36115755899999996,1,0,0,0,0,0,0,1,0,1.066464053,0.97747887,0.344356299,-0.163486338,0.18571150399999997,338
1,-0.9199889040000001,0,1,-1.083472678,0,0,0,1,0,1,0,0,0,-0.47192727100000004,-1.033538315,1.00982429,-0.163486338,-0.633626082,107
1,0.150218941,1,0,1.083472678,0,0,0,1,0,0,1,0,0,0.164648449,-0.401504343,1.214583671,0.08806664199999999,-1.452963667,265
1,0.08205283599999999,1,0,-0.21669453600000002,0,1,0,0,0,0,0,1,0,0.589032263,0.34544489700000003,0.549115681,-0.163486338,1.278161617,251
1,-0.988155008,1,0,1.661324773,0,0,1,0,0,0,0,0,1,0.270744403,-0.05675854,0.6514953720000001,-0.163486338,-0.087401025,95
1,-0.797289915,1,0,-0.072231512,0,1,0,0,0,0,0,1,0,-0.206687388,0.0006990939999999999,-0.5770609179999999,-0.163486338,-1.452963667,124
1,0.42288336,1,0,-0.072231512,1,0,0,0,0,0,0,1,0,-0.524975248,-0.114216173,-0.9353898359999999,-0.163486338,0.73193656,291
1,-0.790473305,1,0,1.372398725,0,0,0,1,0,0,0,0,1,-2.275558479,-2.125233359,-1.088959372,-0.163486338,2.370611731,126
1,-0.545075328,1,0,-1.083472678,0,0,0,1,0,1,0,0,0,0.48293631,-0.114216173,1.4193430530000002,-0.163486338,0.18571150399999997,161
1,0.641014895,0,1,-1.372398725,0,0,1,0,0,0,0,0,1,1.013416077,1.322224673,-0.423491382,-0.163486338,-0.087401025,354
1,1.5612573090000001,1,0,0.79454663,0,0,1,0,0,0,1,0,0,1.172560007,1.207309405,0.08840707199999999,-0.163486338,-0.633626082,477
1,0.579665401,1,0,0.79454663,0,0,0,1,0,0,1,0,0,-0.790215132,-0.746250146,-0.47468122700000004,-0.163486338,0.45882403200000005,161
1,2.713264479,0,1,0.21669453600000002,0,0,1,0,1,0,0,0,0,1.596943821,2.0117162790000003,-0.423491382,-0.163486338,0.45882403200000005,624
1,2.7405309210000004,1,0,0.650083607,0,0,1,0,1,0,0,0,0,1.225607984,1.666970476,-0.5770609179999999,-0.163486338,0.18571150399999997,558
1,-0.620058043,1,0,1.661324773,1,0,0,0,0,0,0,0,1,0.270744403,0.575275433,-0.5770609179999999,-0.163486338,-1.452963667,173
1,3.415375358,1,0,-0.072231512,0,0,1,0,0,0,0,1,0,1.43779989,1.666970476,-0.167542155,-0.163486338,0.45882403200000005,738
1,0.920495924,1,0,0.072231512,1,0,0,0,1,0,0,0,0,-0.896311085,-0.458961977,-1.088959372,-0.163486338,0.73193656,378
1,0.954578977,1,0,-0.650083607,0,0,1,0,0,1,0,0,0,0.64208024,0.862563602,-0.372301536,-0.163486338,-0.633626082,447
1,0.72281422,1,0,-0.072231512,1,0,0,0,0,0,0,1,0,0.64208024,0.632733067,0.037217227,-0.163486338,0.73193656,341
1,-0.8245563570000001,0,1,1.227935701,0,1,0,0,0,0,0,0,1,0.907320123,0.7476483340000001,0.44673599,-0.163486338,-0.633626082,115
1,-0.9199889040000001,1,0,1.516861749,0,1,0,0,0,0,0,0,1,-1.055455015,-0.401504343,-1.3960984440000002,-0.163486338,0.18571150399999997,103
