offset,PDemand Feature,Day1,Day2,Hour Index,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,Office y
1,-0.926093108,1,0,-1.661324773,1,0,0,0,0,0,0,0,1,-0.631071201,-0.51641961,-0.525871073,-0.163486338,-0.087401025,306
1,-0.289318868,1,0,-0.650083607,0,0,1,0,0,1,0,0,0,1.225607984,0.97747887,0.7026852170000001,-0.163486338,2.097499203,453
1,-0.7512923359999999,1,0,0.36115755899999996,0,1,0,0,1,0,0,0,0,-0.36583131799999996,0.23052963,-1.191339063,-0.163486338,0.73193656,344
1,-0.9323359929999999,1,0,-1.083472678,0,0,0,1,0,1,0,0,0,-0.25973536399999997,-0.573877244,0.44673599,-0.163486338,-0.633626082,308
1,-0.944821762,1,0,-1.372398725,0,1,0,0,0,0,0,0,1,0.058552495999999996,-0.344046709,0.753875063,-0.163486338,1.0050490890000001,305
1,0.996715383,0,1,0.072231512,0,1,0,0,1,0,0,0,0,0.058552495999999996,0.575275433,-0.9353898359999999,-0.163486338,0.18571150399999997,633
1,-0.38296213799999995,1,0,-1.516861749,0,0,1,0,0,0,0,0,1,0.695128216,0.920021236,-0.372301536,-0.163486338,-1.452963667,378
1,1.39001712,0,1,0.79454663,0,0,1,0,0,0,1,0,0,0.854272147,2.0117162790000003,-1.498478135,-0.163486338,-0.633626082,679
1,-0.22064713600000002,0,1,-1.083472678,0,0,1,0,0,1,0,0,0,1.4908478669999998,1.149851771,1.00982429,-0.163486338,-0.633626082,421
1,-1.144594073,1,0,-1.083472678,0,0,0,1,0,1,0,0,0,-0.737167155,-0.9186230470000001,-0.013972618999999999,0.339619623,-0.087401025,278
1,-0.37047636899999997,1,0,1.083472678,1,0,0,0,0,0,1,0,0,-1.161550969,-0.573877244,-1.344908599,-0.163486338,1.0050490890000001,393
1,0.010339599,1,0,1.227935701,0,1,0,0,0,0,0,0,1,-0.684119178,0.058156728,-1.3960984440000002,-0.163486338,1.278161617,426
1,-0.9573075320000001,1,0,-1.516861749,0,0,0,1,0,0,0,0,1,-0.896311085,-1.148453583,0.13959691800000001,-0.163486338,-0.087401025,307
1,1.958119629,1,0,1.227935701,0,0,1,0,0,0,0,0,1,1.3317039370000001,1.494597575,-0.065162464,-0.163486338,-1.452963667,737
1,-1.007250609,1,0,-0.79454663,0,0,0,1,0,1,0,0,0,-0.949359062,-1.148453583,-0.013972618999999999,-0.163486338,-0.087401025,308
1,0.15392594699999998,0,1,-1.516861749,0,0,1,0,0,0,0,0,1,1.5438958440000001,1.149851771,1.1633938259999999,-0.163486338,-0.633626082,477
