offset,PDemand Feature,Day1,Day2,Season1,Season2,Season3,Season4,TOD1,TOD2,TOD3,TOD4,TOD5,dewtemp,drytemp,humidity,precip,wind speed,School1 y
1,-0.8167390040000001,0,1,0,1,0,0,0,1,0,0,0,-0.524975248,-0.22913144100000002,-0.7818203,-0.163486338,-0.633626082,-0.816524483
1,-0.13126184400000002,0,0,0,0,0,1,1,0,0,0,0,-1.692030736,-0.861165414,-1.754427362,-0.163486338,0.73193656,-0.154723096
1,1.239692477,0,0,0,0,1,0,0,0,0,0,1,1.3317039370000001,0.805105968,1.4193430530000002,0.842725583,0.73193656,1.168879679
1,0.530578173,0,0,0,0,0,1,0,0,0,1,0,-0.418879295,-1.205911217,1.777671971,0.591172603,1.278161617,0.826161103
1,-0.5330932820000001,0,0,0,0,1,0,0,0,0,1,0,0.589032263,0.517817799,0.13959691800000001,-0.163486338,-1.452963667,1.263422735
1,-0.32035899100000004,1,0,1,0,0,0,0,0,0,0,1,0.535984286,-0.05675854,1.4193430530000002,-0.163486338,0.73193656,-0.331991325
1,-1.33675616,0,1,0,1,0,0,0,1,0,0,0,-1.161550969,-0.9760806809999999,-0.7818203,-0.163486338,-0.633626082,-1.312875524
1,1.216055333,0,0,0,0,1,0,1,0,0,0,0,0.535984286,1.494597575,-1.344908599,-0.163486338,1.0050490890000001,-0.6983456640000001
1,-0.060350413,0,1,0,1,0,0,1,0,0,0,0,-0.206687388,0.173071996,-0.833010145,-0.163486338,0.18571150399999997,-0.131087332
1,-0.8640132909999999,0,0,0,0,1,0,0,0,0,0,1,0.535984286,-0.05675854,1.4193430530000002,-0.163486338,-1.452963667,-0.970156948
1,0.093291019,0,0,0,0,0,1,0,0,1,0,0,-0.578023225,-0.51641961,-0.423491382,-0.163486338,0.73193656,-0.024726395
1,1.452426768,0,0,0,0,1,0,0,0,0,1,0,1.3317039370000001,1.494597575,-0.065162464,-0.163486338,-0.633626082,1.535234019
1,0.436029599,0,0,0,0,1,0,0,0,1,0,0,0.907320123,0.173071996,1.931241507,0.339619623,-1.452963667,-0.887431775
1,-0.08398755699999999,0,1,0,1,0,0,0,0,0,0,1,-0.10059143400000001,-0.344046709,0.344356299,-0.163486338,0.18571150399999997,-0.08381580400000001
1,-0.30854042,0,0,0,0,1,0,0,0,0,0,1,1.225607984,0.632733067,1.572912589,-0.163486338,-1.452963667,-0.414716498
1,-0.9231061490000001,0,0,0,0,0,1,0,1,0,0,0,-1.373742875,-1.608114654,-0.065162464,-0.163486338,-0.087401025,-0.958339067
1,-0.6512789999999999,0,1,0,1,0,0,0,0,0,0,1,-0.8432631079999999,0.115614362,-1.7032375169999998,-0.163486338,1.278161617,-0.651074137
1,-0.9585618640000001,0,0,0,0,1,0,0,0,0,0,1,0.42988833299999996,0.805105968,-0.679440609,-0.163486338,-0.087401025,-0.946521185
1,-0.5330932820000001,1,0,1,0,0,0,0,0,1,0,0,0.164648449,0.34544489700000003,-0.423491382,-0.163486338,0.18571150399999997,-0.544713199
1,0.459666743,0,0,0,0,0,1,1,0,0,0,0,-1.267646922,-1.378284118,-0.32111169100000003,-0.163486338,0.73193656,0.44798888200000003
1,1.074232472,0,0,0,0,1,0,0,0,0,0,1,1.4908478669999998,1.4371399409999999,0.344356299,-0.163486338,-1.452963667,1.05070086
1,0.223295308,0,0,0,0,1,0,0,0,0,0,1,0.7481761929999999,0.632733067,0.29316645399999997,-0.163486338,-0.087401025,0.18799548
1,0.412392456,0,0,0,0,1,0,0,0,0,0,1,1.27865596,1.092394138,0.600305526,-0.163486338,-0.087401025,0.388899472
